"Group","Name","Rank","Taxon","nOfTaxon","nofCount"
"beetle","BHRC Hemlock Draw North","genus","Psyllobora",1,1
"beetle","BHRC Hemlock Draw North","genus","Saperda",1,1
"beetle","BHRC Hemlock Draw North","genus","Typocerus",1,1
"beetle","BHRC Misty Valley Uplands","genus","Anatis",1,1
"beetle","BHRC Misty Valley Uplands","genus","Photinus",1,1
"beetle","BHRC Misty Valley Uplands","genus","Phyllobius",1,1
"beetle","BHRC Misty Valley Uplands","genus","Polydrusus",2,4
"beetle","BHRC Misty Valley Uplands","genus","Sciaphilus",1,1
"beetle","BHRC Natural Bridge South","genus","Ellychnia",1,1
"beetle","BHRC Natural Bridge South","genus","Harmonia",1,1
"beetle","BHRC Natural Bridge South","genus","Photinus",1,1
"beetle","BHRC Natural Bridge South","genus","Phyllobius",1,1
"beetle","BHRC Natural Bridge South","subfamily","Eumolpinae",1,2
"beetle","BHRC Natural Bridge Uplands","genus","Harmonia",1,5
"beetle","BHRC Natural Bridge Uplands","genus","Photinus",1,1
"beetle","BHRC Natural Bridge Uplands","genus","Rhagonycha",1,2
"beetle","BHRC Natural Bridge Uplands","tribe","Coccinellini",1,1
"beetle","BHRC Pan Hollow Uplands","genus","Phyllobius",1,3
"beetle","BHRC Pan Hollow Uplands","genus","Polydrusus",1,1
"beetle","BHRC Pan Hollow Uplands","subfamily","Entiminae",1,4
"beetle","BHRC Pine Glen Uplands","genus","Phyllobius",1,1
"beetle","BHRC Pine Glen Uplands","tribe","Dichelonychini",1,1
"beetle","BHRC Schara Road Woodland","genus","Agrilus",1,1
"beetle","BHRC Schara Road Woodland","genus","Cyrtepistomus",1,5
"beetle","BHRC Schara Road Woodland","genus","Harmonia",1,2
"beetle","BHRC Schara Road Woodland","genus","Photinus",1,1
"beetle","BHRC Schara Road Woodland","genus","Polydrusus",1,1
"beetle","BHRC Schara Road Woodland","genus","Popillia",1,1
"beetle","BHRC Schara Road Woodland","subfamily","Scolytinae",1,1
"beetle","BHRC Schara Road Woodland","tribe","Coccinellini",1,1
"beetle","Beare Swamp in Rouge Park","genus","Isomira",1,1
"beetle","Beare Swamp in Rouge Park","genus","Neofidia",1,2
"beetle","Beare Swamp in Rouge Park","genus","Phyllobius",1,10
"beetle","Beare Swamp in Rouge Park","genus","Psyllobora",1,1
"beetle","Beare Swamp in Rouge Park","genus","Sciaphilus",1,2
"beetle","Beare Swamp in Rouge Park","genus","Urgleptes",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Agrilus",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Anomoea",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Chauliognathus",1,2
"beetle","Belle Isle State Park, Lancaster, VA","genus","Chrysochus",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Conoderus",1,2
"beetle","Belle Isle State Park, Lancaster, VA","genus","Cyrtepistomus",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Demotina",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Euphoria",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Harmonia",1,2
"beetle","Belle Isle State Park, Lancaster, VA","genus","Macrodactylus",2,2
"beetle","Belle Isle State Park, Lancaster, VA","genus","Macrosiagon",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Monocrepidius",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Mordellistena",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Neofidia",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Ochyromera",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Odontopus",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Photinus",2,12
"beetle","Belle Isle State Park, Lancaster, VA","genus","Photuris",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Popillia",1,5
"beetle","Belle Isle State Park, Lancaster, VA","genus","Pyractomena",1,1
"beetle","Belle Isle State Park, Lancaster, VA","genus","Trichodesma",1,1
"beetle","Belle Isle State Park, Lancaster, VA","subfamily","Eumolpinae",1,1
"beetle","Belle Isle State Park, Lancaster, VA","tribe","Bromiini",1,1
"beetle","Belle Isle State Park, Lancaster, VA","tribe","Lepturini",1,1
"beetle","Bickford Park Caterpillars Count","tribe","Coccinellini",1,1
"beetle","Big Branch","genus","Cyrtepistomus",1,7
"beetle","Big Branch","tribe","Cryptocephalini",1,1
"beetle","Birmingham Zoo AL","genus","Ochyromera",1,1
"beetle","Birmingham Zoo AL","genus","Pantomorus",1,3
"beetle","Brookbanks Park","genus","Anatis",1,1
"beetle","Brookbanks Park","genus","Coccinella",1,1
"beetle","Brookbanks Park","genus","Phyllobius",1,1
"beetle","Brookbanks Park","genus","Psyllobora",1,2
"beetle","Brookbanks Park","genus","Sciaphilus",1,3
"beetle","Broyhill Park","genus","Harmonia",1,1
"beetle","Callawassie Island South Carolina","genus","Chilocorus",1,1
"beetle","Camp Woods Survey","genus","Harmonia",1,2
"beetle","Camp Woods Survey","genus","Popillia",1,1
"beetle","Camp Woods Survey","genus","Pseudoedophrys",1,2
"beetle","Colonel Samuel Smith Park","genus","Chilocorus",1,1
"beetle","Colonel Samuel Smith Park","genus","Harmonia",1,4
"beetle","Colonel Samuel Smith Park","genus","Orchestes",2,3
"beetle","Colonel Samuel Smith Park","genus","Polydrusus",1,1
"beetle","Colonel Samuel Smith Park","genus","Popillia",1,1
"beetle","Colonel Samuel Smith Park","genus","Psyllobora",1,1
"beetle","Colonel Samuel Smith Park","genus","Rhagonycha",1,2
"beetle","Colonel Samuel Smith Park","genus","Trirhabda",1,1
"beetle","Colonel Samuel Smith Park","tribe","Rhamphini",1,4
"beetle","Cowee MAPS Site","genus","Palaminus",1,1
"beetle","Cowee MAPS Site","genus","Panscopus",1,1
"beetle","Crossways Survey","genus","Anatis",1,1
"beetle","Crossways Survey","genus","Conoderus",1,1
"beetle","Crossways Survey","genus","Cyrtepistomus",1,3
"beetle","Crossways Survey","genus","Harmonia",1,2
"beetle","Crossways Survey","genus","Odontota",1,1
"beetle","Crossways Survey","genus","Photuris",1,2
"beetle","Crossways Survey","genus","Pseudoedophrys",1,2
"beetle","Crossways Survey","genus","Statira",1,1
"beetle","Crossways Survey","subfamily","Entiminae",1,1
"beetle","Currituck Banks Reserve","genus","Axion",1,1
"beetle","Eastern Market Street Trees","genus","Odontota",1,2
"beetle","Eno River State Park","genus","Cryptocephalus",1,1
"beetle","Eno River State Park","genus","Cyrtepistomus",1,19
"beetle","Eno River State Park","genus","Falsomordellistena",1,1
"beetle","Eno River State Park","genus","Harmonia",1,1
"beetle","Eno River State Park","genus","Macrodactylus",1,2
"beetle","Eno River State Park","genus","Neolema",1,1
"beetle","Eno River State Park","genus","Odontopus",1,1
"beetle","Eno River State Park","genus","Palaminus",1,1
"beetle","Eno River State Park","genus","Popillia",1,1
"beetle","Eno River State Park","genus","Pseudocneorhinus",1,3
"beetle","Eno River State Park","genus","Pseudoedophrys",1,10
"beetle","Eno River State Park","genus","Rhagonycha",1,1
"beetle","Eno River State Park","genus","Tenomerga",1,1
"beetle","Eno River State Park","genus","Urgleptes",1,2
"beetle","EwA at Fresh Pond","genus","Acalymma",1,1
"beetle","EwA at Fresh Pond","genus","Brachiacantha",2,2
"beetle","EwA at Fresh Pond","genus","Calopteron",1,1
"beetle","EwA at Fresh Pond","genus","Conotrachelus",1,1
"beetle","EwA at Fresh Pond","genus","Harmonia",2,19
"beetle","EwA at Fresh Pond","genus","Hyperaspis",1,1
"beetle","EwA at Fresh Pond","genus","Mordellina",1,1
"beetle","EwA at Fresh Pond","genus","Pedilus",1,1
"beetle","EwA at Fresh Pond","genus","Polydrusus",1,4
"beetle","EwA at Fresh Pond","genus","Psyllobora",1,2
"beetle","EwA at Fresh Pond","genus","Ptilinus",1,1
"beetle","EwA at Fresh Pond","genus","Scirtes",1,3
"beetle","EwA at Fresh Pond","tribe","Mordellistenini",1,1
"beetle","EwA at Habitat","genus","Elonus",1,1
"beetle","EwA at Habitat","genus","Lechriops",1,1
"beetle","EwA at Habitat","genus","Melanotus",1,2
"beetle","EwA at Habitat","genus","Polydrusus",1,1
"beetle","EwA at Habitat","genus","Synolabus",1,1
"beetle","EwA at Horn Pond","genus","Brachys",1,1
"beetle","EwA at Horn Pond","genus","Calopteron",2,3
"beetle","EwA at Horn Pond","genus","Coleothorpa",1,1
"beetle","EwA at Horn Pond","genus","Cyrtepistomus",1,2
"beetle","EwA at Horn Pond","genus","Eugnamptus",1,1
"beetle","EwA at Horn Pond","genus","Gambrinus",1,1
"beetle","EwA at Horn Pond","genus","Harmonia",1,15
"beetle","EwA at Horn Pond","genus","Mastogenius",1,1
"beetle","EwA at Horn Pond","genus","Polydrusus",1,1
"beetle","EwA at Horn Pond","subfamily","Apioninae",1,1
"beetle","EwA at Horn Pond","subfamily","Cantharinae",1,2
"beetle","EwA at Horn Pond","subfamily","Lepturinae",1,1
"beetle","EwA at Horn Pond","tribe","Rhamphini",1,1
"beetle","EwA at Horn Pond","tribe","Tracheini",1,1
"beetle","EwA at the Fells","genus","Agrilus",1,1
"beetle","EwA at the Fells","genus","Anaspis",1,1
"beetle","EwA at the Fells","genus","Brachys",2,3
"beetle","EwA at the Fells","genus","Contacyphon",1,5
"beetle","EwA at the Fells","genus","Cryptolaemus",1,1
"beetle","EwA at the Fells","genus","Cyrtepistomus",1,2
"beetle","EwA at the Fells","genus","Eulechriops",1,1
"beetle","EwA at the Fells","genus","Harmonia",1,2
"beetle","EwA at the Fells","genus","Horistonotus",1,1
"beetle","EwA at the Fells","genus","Hyperaspis",1,1
"beetle","EwA at the Fells","genus","Leptoceletes",1,1
"beetle","EwA at the Fells","genus","Melanotus",1,3
"beetle","EwA at the Fells","genus","Monarthrum",1,1
"beetle","EwA at the Fells","genus","Mordella",2,4
"beetle","EwA at the Fells","genus","Mordellistena",1,2
"beetle","EwA at the Fells","genus","Odontopus",1,1
"beetle","EwA at the Fells","genus","Phyllobaenus",1,2
"beetle","EwA at the Fells","genus","Rhagonycha",2,12
"beetle","EwA at the Fells","genus","Strangalia",1,1
"beetle","EwA at the Fells","genus","Strophosoma",1,3
"beetle","EwA at the Fells","genus","Synolabus",1,3
"beetle","EwA at the Fells","genus","Tytthonyx",1,1
"beetle","EwA at the Fells","subfamily","Alleculinae",1,3
"beetle","EwA at the Fells","subfamily","Cantharinae",1,2
"beetle","EwA at the Fells","subfamily","Cossoninae",1,1
"beetle","EwA at the Fells","subfamily","Malachiinae",1,5
"beetle","EwA at the Fells","subfamily","Xyletininae",1,1
"beetle","EwA at the Fells","tribe","Cantharini",1,1
"beetle","EwA at the Fells","tribe","Choragini",1,1
"beetle","EwA at the Growing Center","genus","Agrilus",1,1
"beetle","EwA at the Growing Center","genus","Anthrenus",2,4
"beetle","EwA at the Growing Center","genus","Brachys",1,1
"beetle","EwA at the Growing Center","genus","Chilocorus",1,1
"beetle","EwA at the Growing Center","genus","Harmonia",1,8
"beetle","EwA at the Growing Center","genus","Petalium",1,1
"beetle","EwA at the Growing Center","genus","Polydrusus",1,1
"beetle","EwA at the Growing Center","genus","Propylea",1,1
"beetle","EwA at the Growing Center","genus","Pseudoedophrys",1,1
"beetle","EwA at the Growing Center","genus","Psyllobora",1,2
