"scientificName","nativeStatus","plantOrigin"
"Astragalus lasioglottis",NA,NA
"Astragalus laxmannii","L48(N)AK(N)CAN(N)","native"
"Astragalus laxmannii var. robustior","L48(N)AK(N)CAN(N)","native"
"Astragalus laxmannii var. tananaicus","AK(N)CAN(N)NA(N)","native"
"Astragalus layneae","L48(N)","native"
"Astragalus leibergii","L48(N)","native"
"Astragalus lemmonii","L48(N)","native"
"Astragalus lentiformis","L48(N)","native"
"Astragalus lentiginosus","L48(N)CAN(N)","native"
"Astragalus lentiginosus var. albifolius","L48(N)","native"
"Astragalus lentiginosus var. ambiguus","L48(N)","native"
"Astragalus lentiginosus var. antonius","L48(N)","native"
"Astragalus lentiginosus var. australis","L48(N)","native"
"Astragalus lentiginosus var. borreganus","L48(N)","native"
"Astragalus lentiginosus var. chartaceus","L48(N)","native"
"Astragalus lentiginosus var. coachellae","L48(N)","native"
"Astragalus lentiginosus var. diphysus","L48(N)","native"
"Astragalus lentiginosus var. floribundus","L48(N)","native"
"Astragalus lentiginosus var. fremontii","L48(N)","native"
"Astragalus lentiginosus var. higginsii","L48(N)","native"
"Astragalus lentiginosus var. idriensis","L48(N)","native"
"Astragalus lentiginosus var. ineptus","L48(N)","native"
"Astragalus lentiginosus var. kennedyi","L48(N)","native"
"Astragalus lentiginosus var. kernensis","L48(N)","native"
"Astragalus lentiginosus var. latus","L48(N)","native"
"Astragalus lentiginosus var. lentiginosus","L48(N)","native"
"Astragalus lentiginosus var. maricopae","L48(N)","native"
"Astragalus lentiginosus var. micans","L48(N)","native"
"Astragalus lentiginosus var. nigricalycis","L48(N)","native"
"Astragalus lentiginosus var. oropedii","L48(N)","native"
"Astragalus lentiginosus var. palans","L48(N)","native"
"Astragalus lentiginosus var. piscinensis","L48(N)","native"
"Astragalus lentiginosus var. pohlii","L48(N)","native"
"Astragalus lentiginosus var. salinus","L48(N)CAN(N)","native"
"Astragalus lentiginosus var. scorpionis","L48(N)","native"
"Astragalus lentiginosus var. semotus","L48(N)","native"
"Astragalus lentiginosus var. sesquimetralis","L48(N)","native"
"Astragalus lentiginosus var. sierrae","L48(N)","native"
"Astragalus lentiginosus var. stramineus","L48(N)","native"
"Astragalus lentiginosus var. trumbullensis","L48(N)","native"
"Astragalus lentiginosus var. variabilis","L48(N)","native"
"Astragalus lentiginosus var. vitreus","L48(N)","native"
"Astragalus lentiginosus var. wilsonii","L48(N)","native"
"Astragalus lentiginosus var. yuccanus","L48(N)","native"
"Astragalus leptaleus","L48(N)","native"
"Astragalus leptocarpus","L48(N)","native"
"Astragalus leucolobus","L48(N)","native"
"Astragalus limnocharis","L48(N)","native"
"Astragalus limnocharis var. limnocharis","L48(N)","native"
"Astragalus limnocharis var. montii","L48(N)","native"
"Astragalus lindheimeri","L48(N)","native"
"Astragalus linifolius","L48(N)","native"
"Astragalus loanus","L48(N)","native"
"Astragalus lonchocarpus","L48(N)","native"
"Astragalus lotiflorus","L48(N)CAN(N)","native"
"Astragalus lurorum",NA,NA
"Astragalus lutosus","L48(N)","native"
"Astragalus lyallii","L48(N)","native"
"Astragalus macrodon","L48(N)","native"
"Astragalus magdalenae","L48(N)","native"
"Astragalus magdalenae var. niveus",NA,NA
"Astragalus magdalenae var. peirsonii","L48(N)","native"
"Astragalus malacoides","L48(N)","native"
"Astragalus malacus","L48(N)","native"
"Astragalus megacarpus","L48(N)","native"
"Astragalus melilotoides",NA,NA
"Astragalus michauxii","L48(N)","native"
"Astragalus microcymbus","L48(N)","native"
"Astragalus microcystis","L48(N)CAN(N)","native"
"Astragalus micromerius","L48(N)","native"
"Astragalus miguelensis","L48(N)","native"
"Astragalus minthorniae","L48(N)","native"
"Astragalus minthorniae var. minthorniae","L48(N)","native"
"Astragalus minthorniae var. villosus","L48(N)","native"
"Astragalus misellus","L48(N)","native"
"Astragalus misellus var. misellus","L48(N)","native"
"Astragalus misellus var. pauper","L48(N)","native"
"Astragalus miser","L48(N)CAN(N)","native"
"Astragalus miser var. crispatus","L48(N)","native"
"Astragalus miser var. decumbens","L48(N)","native"
"Astragalus miser var. hylophilus","L48(N)","native"
"Astragalus miser var. miser","L48(N)CAN(N)","native"
"Astragalus miser var. oblongifolius","L48(N)","native"
"Astragalus miser var. praeteritus","L48(N)","native"
"Astragalus miser var. serotinus","L48(N)CAN(N)","native"
"Astragalus miser var. tenuifolius","L48(N)","native"
"Astragalus missouriensis","L48(N)CAN(N)","native"
"Astragalus missouriensis var. amphibolus","L48(N)","native"
"Astragalus missouriensis var. humistratus","L48(N)","native"
"Astragalus missouriensis var. mimetes","L48(N)","native"
"Astragalus missouriensis var. missouriensis","L48(N)CAN(N)","native"
"Astragalus moencoppensis","L48(N)","native"
"Astragalus mohavensis","L48(N)","native"
"Astragalus mohavensis var. hemigyrus","L48(N)","native"
"Astragalus mohavensis var. mohavensis","L48(N)","native"
"Astragalus mokiacensis","L48(N)","native"
"Astragalus mollissimus","L48(N)","native"
"Astragalus mollissimus var. bigelovii","L48(N)","native"
"Astragalus mollissimus var. coryi","L48(N)","native"
"Astragalus mollissimus var. earlei","L48(N)","native"
"Astragalus mollissimus var. marcidus","L48(N)","native"
"Astragalus mollissimus var. matthewsii","L48(N)","native"
"Astragalus mollissimus var. mogollonicus","L48(N)","native"
"Astragalus mollissimus var. mollissimus","L48(N)","native"
"Astragalus mollissimus var. thompsoniae","L48(N)","native"
"Astragalus molybdenus","L48(N)","native"
"Astragalus mongholicus",NA,NA
"Astragalus monoensis","L48(N)","native"
"Astragalus monspessulanus",NA,NA
"Astragalus monumentalis","L48(N)","native"
"Astragalus monumentalis var. cottamii","L48(N)","native"
"Astragalus monumentalis var. monumentalis","L48(N)","native"
"Astragalus mulfordiae","L48(N)","native"
"Astragalus musiniensis","L48(N)","native"
"Astragalus naturitensis","L48(N)","native"
"Astragalus neglectus","L48(N)CAN(N)","native"
"Astragalus nelsonianus","L48(N)","native"
"Astragalus neomexicanus","L48(N)","native"
"Astragalus nevinii","L48(N)","native"
"Astragalus newberryi","L48(N)","native"
"Astragalus newberryi var. aquarii","L48(N)","native"
"Astragalus newberryi var. blyae","L48(N)","native"
"Astragalus newberryi var. castoreus","L48(N)","native"
"Astragalus newberryi var. escalantinus","L48(N)","native"
"Astragalus newberryi var. newberryi","L48(N)","native"
"Astragalus nidularius","L48(N)","native"
"Astragalus norvegicus",NA,NA
"Astragalus nothoxys","L48(N)","native"
"Astragalus nudisiliquus","L48(N)","native"
"Astragalus nutans","L48(N)","native"
"Astragalus nutriosensis","L48(N)","native"
"Astragalus nuttallianus","L48(N)","native"
"Astragalus nuttallianus var. austrinus","L48(N)","native"
"Astragalus nuttallianus var. cedrosensis","L48(N)","native"
"Astragalus nuttallianus var. imperfectus","L48(N)","native"
"Astragalus nuttallianus var. macilentus","L48(N)","native"
"Astragalus nuttallianus var. micranthiformis","L48(N)","native"
"Astragalus nuttallianus var. nuttallianus","L48(N)","native"
"Astragalus nuttallianus var. trichocarpus","L48(N)","native"
"Astragalus nuttallianus var. zapatanus","L48(N)","native"
"Astragalus nuttallii","L48(N)","native"
"Astragalus nuttallii var. nuttallii","L48(N)","native"
"Astragalus nuttallii var. virgatus","L48(N)","native"
"Astragalus nutzotinensis","AK(N)CAN(N)NA(N)","native"
"Astragalus nyensis","L48(N)","native"
"Astragalus obcordatus","L48(N)","native"
"Astragalus obscurus","L48(N)","native"
"Astragalus oniciformis","L48(N)","native"
"Astragalus onobrychis",NA,NA
"Astragalus oocalycis","L48(N)","native"
"Astragalus oocarpus","L48(N)","native"
"Astragalus oophorus","L48(N)","native"
"Astragalus oophorus var. caulescens","L48(N)","native"
"Astragalus oophorus var. clokeyanus","L48(N)","native"
"Astragalus oophorus var. lavinii","L48(N)","native"
"Astragalus oophorus var. lonchocalyx","L48(N)","native"
"Astragalus oophorus var. oophorus","L48(N)","native"
"Astragalus oreganus","L48(N)","native"
"Astragalus osterhoutii","L48(N)","native"
"Astragalus oxyphysus","L48(N)","native"
"Astragalus pachypus","L48(N)","native"
"Astragalus pachypus var. jaegeri","L48(N)","native"
"Astragalus pachypus var. pachypus","L48(N)","native"
"Astragalus pallescens",NA,NA
"Astragalus palmeri","L48(N)","native"
"Astragalus panamintensis","L48(N)","native"
"Astragalus pardalinus","L48(N)","native"
"Astragalus parryi","L48(N)","native"
"Astragalus pattersonii","L48(N)","native"
"Astragalus pauperculus","L48(N)","native"
"Astragalus paysonii","L48(N)","native"
"Astragalus peckii","L48(N)","native"
"Astragalus pectinatus","L48(N)CAN(N)","native"
"Astragalus penduliflorus",NA,NA
"Astragalus perianus","L48(N)","native"
"Astragalus phoenix","L48(N)","native"
"Astragalus pictiformis","L48(N)","native"
"Astragalus pinonis","L48(N)","native"
"Astragalus pinonis var. atwoodii","L48(N)","native"
"Astragalus pinonis var. pinonis","L48(N)","native"
"Astragalus piscator","L48(N)","native"
"Astragalus piutensis","L48(N)","native"
"Astragalus plattensis","L48(N)","native"
"Astragalus platytropis","L48(N)","native"
"Astragalus pleianthus","L48(N)","native"
"Astragalus polaris","AK(N)",NA
"Astragalus polybotrys",NA,NA
"Astragalus pomonensis","L48(N)","native"
"Astragalus ponticus",NA,NA
"Astragalus porrectus","L48(N)","native"
"Astragalus praelongus","L48(N)","native"
"Astragalus praelongus var. ellisiae","L48(N)","native"
"Astragalus praelongus var. lonchopus","L48(N)","native"
"Astragalus praelongus var. praelongus","L48(N)","native"
"Astragalus preussii","L48(N)","native"
"Astragalus preussii var. cutleri","L48(N)","native"
"Astragalus preussii var. laxiflorus","L48(N)","native"
"Astragalus preussii var. preussii","L48(N)","native"
"Astragalus proimanthus","L48(N)","native"
"Astragalus proximus","L48(N)","native"
"Astragalus pseudiodanthus","L48(N)","native"
"Astragalus pterocarpus","L48(N)","native"
"Astragalus pubentissimus","L48(N)","native"
"Astragalus pulsiferae","L48(N)","native"
"Astragalus pulsiferae var. coronensis","L48(N)","native"
"Astragalus pulsiferae var. pulsiferae","L48(N)","native"
"Astragalus pulsiferae var. suksdorfii","L48(N)","native"
"Astragalus puniceus","L48(N)","native"
"Astragalus puniceus var. gertrudis","L48(N)","native"
"Astragalus puniceus var. puniceus","L48(N)","native"
"Astragalus purshii","L48(N)CAN(N)","native"
"Astragalus purshii var. concinnus","L48(N)","native"
"Astragalus purshii var. glareosus","L48(N)CAN(N)","native"
"Astragalus purshii var. lagopinus","L48(N)","native"
"Astragalus purshii var. lectulus","L48(N)","native"
"Astragalus purshii var. ophiogenes","L48(N)","native"
"Astragalus purshii var. pumilio","L48(N)","native"
"Astragalus purshii var. purshii","L48(N)CAN(N)","native"
"Astragalus purshii var. tinctus","L48(N)","native"
"Astragalus pycnostachyus","L48(N)","native"
"Astragalus pycnostachyus var. lanosissimus","L48(N)","native"
"Astragalus pycnostachyus var. pycnostachyus","L48(N)","native"
"Astragalus racemosus","L48(N)CAN(N)","native"
"Astragalus racemosus var. longisetus","L48(N)","native"
"Astragalus racemosus var. racemosus","L48(N)CAN(N)","native"
"Astragalus racemosus var. treleasei","L48(N)","native"
"Astragalus rafaelensis","L48(N)","native"
"Astragalus rattanii","L48(N)","native"
"Astragalus rattanii var. jepsonianus","L48(N)","native"
"Astragalus rattanii var. rattanii","L48(N)","native"
"Astragalus ravenii","L48(N)","native"
"Astragalus recurvus","L48(N)","native"
"Astragalus reflexus","L48(N)","native"
"Astragalus remotus","L48(N)","native"
"Astragalus reventiformis","L48(N)","native"
"Astragalus reventus","L48(N)","native"
"Astragalus riparius","L48(N)","native"
"Astragalus ripleyi","L48(N)","native"
"Astragalus robbinsii","L48(N)AK(N)CAN(N)","native"
"Astragalus robbinsii var. alpiniformis","L48(N)","native"
"Astragalus robbinsii var. fernaldii","CAN(N)NA(N)","native"
"Astragalus robbinsii var. harringtonii","AK(N)",NA
"Astragalus robbinsii var. jesupii","L48(N)","native"
"Astragalus robbinsii var. minor","L48(N)AK(N)CAN(N)","native"
"Astragalus robbinsii var. occidentalis","L48(N)","native"
"Astragalus robbinsii var. robbinsii","L48(N)","native"
"Astragalus rusbyi","L48(N)","native"
"Astragalus sabulonum","L48(N)","native"
"Astragalus sabulosus","L48(N)","native"
"Astragalus sabulosus var. sabulosus","L48(N)","native"
"Astragalus sabulosus var. vehiculus","L48(N)","native"
"Astragalus salmonis","L48(N)","native"
"Astragalus saurinus","L48(N)","native"
"Astragalus scaphoides","L48(N)","native"
"Astragalus schmolliae","L48(N)","native"
"Astragalus sclerocarpus","L48(N)CAN(N)","native"
"Astragalus scopulorum","L48(N)","native"
"Astragalus scorpioides",NA,NA
"Astragalus scorpiurus",NA,NA
"Astragalus sepultipes","L48(N)","native"
"Astragalus serenoi","L48(N)","native"
"Astragalus serenoi var. serenoi","L48(N)","native"
"Astragalus serenoi var. shockleyi","L48(N)","native"
"Astragalus serenoi var. sordescens","L48(N)","native"
"Astragalus sericoleucus","L48(N)","native"
"Astragalus serpens","L48(N)","native"
"Astragalus sesameus",NA,NA
"Astragalus sesquiflorus","L48(N)","native"
"Astragalus sheldonii","L48(N)","native"
"Astragalus shevockii","L48(N)","native"
"Astragalus shortianus","L48(N)","native"
"Astragalus siliceus","L48(N)","native"
"Astragalus siliquosus",NA,NA
"Astragalus simplicifolius","L48(N)","native"
"Astragalus sinicus",NA,NA
"Astragalus sinuatus","L48(N)","native"
"Astragalus solitarius","L48(N)","native"
"Astragalus sophoroides","L48(N)","native"
"Astragalus soxmaniorum","L48(N)","native"
"Astragalus spaldingii","L48(N)CAN(N)","native"
"Astragalus sparsiflorus","L48(N)","native"
"Astragalus sparsiflorus var. majusculus","L48(N)","native"
"Astragalus sparsiflorus var. sparsiflorus","L48(N)","native"
"Astragalus spatulatus","L48(N)CAN(N)","native"
"Astragalus speirocarpus","L48(N)","native"
"Astragalus stella",NA,NA
"Astragalus stevenianus",NA,NA
"Astragalus straturensis","L48(N)","native"
"Astragalus striatiflorus","L48(N)","native"
"Astragalus subcinereus","L48(N)","native"
"Astragalus subumbellatus",NA,NA
"Astragalus subvestitus","L48(N)","native"
"Astragalus succumbens","L48(N)","native"
"Astragalus sulcatus",NA,NA
"Astragalus suprapilosus",NA,NA
"Astragalus tegetarioides","L48(N)","native"
"Astragalus tenellus","L48(N)CAN(N)","native"
"Astragalus tener","L48(N)","native"
"Astragalus tener var. ferrisiae","L48(N)","native"
"Astragalus tener var. tener","L48(N)","native"
"Astragalus tener var. titi","L48(N)","native"
"Astragalus tennesseensis","L48(N)","native"
"Astragalus tephrodes","L48(N)","native"
"Astragalus tephrodes var. brachylobus","L48(N)","native"
"Astragalus tephrodes var. chloridae","L48(N)","native"
"Astragalus tephrodes var. remulcus","L48(N)","native"
"Astragalus tephrodes var. tephrodes","L48(N)","native"
"Astragalus tephrosioides",NA,NA
"Astragalus terminalis","L48(N)","native"
"Astragalus tetrapterus","L48(N)","native"
"Astragalus thurberi","L48(N)","native"
"Astragalus tibetanus","L48(I)","alien"
"Astragalus tidestromii","L48(N)","native"
"Astragalus tiehmii","L48(N)","native"
"Astragalus titanophilus","L48(N)","native"
"Astragalus toanus","L48(N)","native"
"Astragalus toanus var. scidulus","L48(N)","native"
"Astragalus toanus var. toanus","L48(N)","native"
"Astragalus toquimanus","L48(N)","native"
"Astragalus tortipes","L48(N)","native"
"Astragalus traskiae","L48(N)","native"
"Astragalus tricarinatus","L48(N)","native"
"Astragalus trichopodus","L48(N)","native"
"Astragalus trichopodus var. lonchus","L48(N)","native"
"Astragalus trichopodus var. phoxus","L48(N)","native"
"Astragalus trichopodus var. trichopodus","L48(N)","native"
"Astragalus tridactylicus","L48(N)","native"
"Astragalus trimestris",NA,NA
"Astragalus troglodytus","L48(N)","native"
"Astragalus tweedyi","L48(N)","native"
"Astragalus tyghensis","L48(N)","native"
"Astragalus umbellatus","AK(N)CAN(N)NA(N)","native"
"Astragalus umbraticus","L48(N)","native"
"Astragalus uncialis","L48(N)","native"
"Astragalus utahensis","L48(N)","native"
"Astragalus utriger",NA,NA
"Astragalus vaccarum","L48(N)","native"
"Astragalus vaginatus",NA,NA
"Astragalus vallaris","L48(N)","native"
"Astragalus verus",NA,NA
"Astragalus vesicarius",NA,NA
"Astragalus vexilliflexus","L48(N)CAN(N)","native"
"Astragalus vexilliflexus var. nubilus","L48(N)","native"
"Astragalus vexilliflexus var. vexilliflexus","L48(N)CAN(N)","native"
"Astragalus villosus","L48(N)","native"
"Astragalus wardii","L48(N)","native"
"Astragalus waterfallii","L48(N)","native"
"Astragalus webberi","L48(N)","native"
"Astragalus welshii","L48(N)","native"
"Astragalus wetherillii","L48(N)","native"
"Astragalus whitneyi","L48(N)","native"
"Astragalus whitneyi var. confusus","L48(N)","native"
"Astragalus whitneyi var. lenophyllus","L48(N)","native"
"Astragalus whitneyi var. siskiyouensis","L48(N)","native"
"Astragalus whitneyi var. sonneanus","L48(N)","native"
"Astragalus whitneyi var. whitneyi","L48(N)","native"
"Astragalus williamsii","AK(N)CAN(N)NA(N)","native"
"Astragalus wingatanus","L48(N)","native"
"Astragalus wittmannii","L48(N)","native"
"Astragalus woodruffii","L48(N)","native"
"Astragalus wootonii","L48(N)","native"
"Astragalus wrightii","L48(N)","native"
"Astragalus xiphoides","L48(N)","native"
"Astragalus yoder-williamsii","L48(N)","native"
"Astragalus zionis","L48(N)","native"
"Astragalus zionis var. vigulus","L48(N)","native"
"Astragalus zionis var. zionis","L48(N)","native"
"Astranthium","L48(N)","native"
"Astranthium integrifolium","L48(N)","native"
"Astranthium integrifolium ssp. ciliatum","L48(N)","native"
"Astranthium integrifolium ssp. integrifolium","L48(N)","native"
"Astranthium robustum","L48(N)","native"
"Astrantia","SPM(I)",NA
"Astrantia major","SPM(I)",NA
"Astrebla",NA,NA
"Astrebla elymoides",NA,NA
"Astrebla lappacea",NA,NA
"Astrebla pectinata",NA,NA
"Astripomoea",NA,NA
"Astripomoea grantii",NA,NA
"Astripomoea hyoscyamoides",NA,NA
"Astrolepis","L48(N)","native"
"Astrolepis cochisensis","L48(N)","native"
"Astrolepis cochisensis ssp. arizonica","L48(N)","native"
"Astrolepis cochisensis ssp. chihuahuaensis","L48(N)","native"
"Astrolepis cochisensis ssp. cochisensis","L48(N)","native"
"Astrolepis integerrima","L48(N)","native"
"Astrolepis sinuata","L48(N)PR(N)","native"
"Astrolepis sinuata ssp. mexicana","L48(N)","native"
"Astrolepis sinuata ssp. sinuata","L48(N)PR(N)","native"
"Astrolepis windhamii","L48(N)","native"
"Astronidium",NA,NA
"Astronidium kusaianum",NA,NA
"Astronidium palauense","L48(N)","native"
"Astronidium pickeringii",NA,NA
"Astronidium ponapense",NA,NA
"Astrophytum","L48(N)","native"
"Astrophytum asterias","L48(N)","native"
"Astrophytum myriostigma",NA,NA
"Astrophytum ornatum",NA,NA
"Astrothelium","NA(N)","native"
"Astrothelium cinnamomeum","NA(N)","native"
"Astrothelium confusum","NA(N)","native"
"Astrothelium diplocarpum","NA(N)","native"
"Astrothelium galbineum","NA(N)","native"
"Astrothelium variolosum","NA(N)","native"
"Astrothelium versicolor","NA(N)","native"
"Asyneuma","L48(N)","native"
"Asyneuma prenanthoides","L48(N)","native"
"Asystasia","L48(I)","alien"
"Asystasia gangetica","L48(I)HI(I)PR(I)VI(I)","alien"
"Asystasia nemorum","L48(I)","alien"
"Atamisquea","L48(N)","native"
"Atamisquea emarginata","L48(N)","native"
"Athalamia","NA(N)","native"
"Athalamia hyalina","NA(N)","native"
"Athalamia hyalina var. californica","NA(N)","native"
"Athalamia hyalina var. hyalina","NA(N)","native"
"Athalamia pygmaea","NA(N)","native"
"Athelia","NA(N)","native"
"Athelia epiphylla","NA(N)","native"
"Athelia poeltii","NA(N)","native"
"Athyrium","L48(N)CAN(N)GL(N)SPM(N)","native"
"Athyrium americanum","L48(N)AK(N)CAN(N)GL(N)","native"
"Athyrium filix-femina","L48(N)AK(N)CAN(N)GL(N)SPM(N)","native"
"Athyrium filix-femina ssp. angustum","L48(N)CAN(N)GL(N)SPM(N)","native"
"Athyrium filix-femina ssp. asplenioides","L48(N)","native"
"Athyrium filix-femina ssp. cyclosorum","L48(N)AK(N)CAN(N)","native"
"Athyrium microphyllum","HI(N)",NA
"Athysanus","L48(N)CAN(N)","native"
"Athysanus pusillus","L48(N)CAN(N)","native"
"Atrichoseris","L48(N)","native"
"Atrichoseris platyphylla","L48(N)","native"
"Atrichum","NA(N)","native"
"Atrichum altecristatum","NA(N)","native"
"Atrichum angustatum","NA(N)","native"
"Atrichum crispum","NA(N)","native"
"Atrichum cylindricum","NA(N)","native"
"Atrichum haussknechtii","NA(N)","native"
"Atrichum oerstedianum","NA(N)","native"
"Atrichum selwynii","NA(N)","native"
"Atrichum tenellum","NA(N)","native"
"Atrichum undulatum","NA(N)","native"
"Atriplex","L48(I,N)CAN(I,N)GL(I,N)SPM(I,N)","native"
"Atriplex X aptera","L48(N)CAN(N)","native"
"Atriplex X neomexicana","L48(N)","native"
"Atriplex X odontoptera","L48(N)","native"
"Atriplex acanthocarpa","L48(N)","native"
"Atriplex acanthocarpa ssp. acanthocarpa","L48(N)","native"
"Atriplex acanthocarpa ssp. coahuilensis","L48(N)","native"
"Atriplex alaskensis","AK(N)CAN(N)NA(N)","native"
"Atriplex amnicola","L48(I)","alien"
"Atriplex argentea","L48(N)CAN(N)","native"
"Atriplex argentea ssp. argentea","L48(N)CAN(N)","native"
"Atriplex argentea ssp. argentea var. argentea","L48(N)","native"
"Atriplex argentea ssp. argentea var. caput-medusae","L48(N)","native"
"Atriplex argentea ssp. expansa","L48(N)","native"
"Atriplex asterocarpa","L48(N)","native"
"Atriplex atacamensis",NA,NA
"Atriplex barclayana",NA,NA
"Atriplex bonnevillensis","L48(N)","native"
"Atriplex bunburyana",NA,NA
"Atriplex californica","L48(N)","native"
"Atriplex calotheca",NA,NA
"Atriplex canescens","L48(N)CAN(N)","native"
"Atriplex canescens var. angustifolia","L48(N)","native"
"Atriplex canescens var. canescens","L48(N)CAN(N)","native"
"Atriplex canescens var. gigantea","L48(N)","native"
"Atriplex canescens var. laciniata","L48(N)","native"
"Atriplex canescens var. linearis","L48(N)","native"
"Atriplex canescens var. macilenta","L48(N)","native"
"Atriplex cinerea",NA,NA
"Atriplex confertifolia","L48(N)","native"
"Atriplex coquimbana",NA,NA
"Atriplex cordifolia",NA,NA
"Atriplex cordulata","L48(N)","native"
"Atriplex coronata","L48(N)","native"
"Atriplex coronata var. coronata","L48(N)","native"
"Atriplex coronata var. notatior","L48(N)","native"
"Atriplex corrugata","L48(N)","native"
"Atriplex coulteri","L48(N)","native"
"Atriplex cristata","L48(N)PR(N)VI(N)","native"
"Atriplex cuneata","L48(N)","native"
"Atriplex cuneata ssp. cuneata","L48(N)","native"
"Atriplex cuneata ssp. introgressa","L48(N)","native"
"Atriplex depressa","L48(N)","native"
"Atriplex drymarioides","AK(N)",NA
"Atriplex eardleyae","HI(I)",NA
"Atriplex elegans","L48(N)","native"
"Atriplex elegans var. elegans","L48(N)","native"
"Atriplex elegans var. fasciculata","L48(N)","native"
"Atriplex elegans var. thornberi","L48(N)","native"
"Atriplex erecticaulis","L48(N)","native"
"Atriplex falcata","L48(N)","native"
"Atriplex farinosa",NA,NA
"Atriplex fruticulosa","L48(N)","native"
"Atriplex gardneri","L48(N)CAN(N)","native"
"Atriplex garrettii","L48(N)","native"
"Atriplex glabriuscula","L48(N)CAN(N)SPM(N)","native"
"Atriplex glabriuscula var. acadiensis","L48(N)CAN(N)","native"
"Atriplex glabriuscula var. franktonii","CAN(N)NA(N)","native"
"Atriplex glabriuscula var. glabriuscula","L48(N)CAN(N)SPM(N)","native"
"Atriplex glauca","L48(I)","alien"
"Atriplex glauca var. ifniensis",NA,NA
"Atriplex gmelinii","L48(N)AK(N)CAN(N)","native"
"Atriplex graciliflora","L48(N)","native"
"Atriplex griffithsii","L48(N)","native"
"Atriplex halimus",NA,NA
"Atriplex hillmanii","L48(N)","native"
"Atriplex holocarpa","L48(I)","alien"
"Atriplex hortensis","L48(I)AK(I)CAN(I)","alien"
"Atriplex hymenelytra","L48(N)","native"
"Atriplex inflata",NA,NA
"Atriplex joaquinana","L48(N)","native"
"Atriplex klebergorum","L48(N)","native"
"Atriplex laciniata","L48(I)CAN(I)","alien"
"Atriplex lampa","L48(I)","alien"
"Atriplex lentiformis","L48(N)HI(I)","native"
"Atriplex lentiformis ssp. breweri","L48(N)","native"
"Atriplex lentiformis ssp. lentiformis","L48(N)HI(I)","native"
"Atriplex leptocarpa",NA,NA
"Atriplex leucoclada",NA,NA
"Atriplex leucophylla","L48(N)","native"
"Atriplex lindleyi","L48(I)","alien"
"Atriplex lindleyi ssp. conduplicata",NA,NA
"Atriplex littoralis","L48(I)PR(I)CAN(I)","alien"
"Atriplex longitrichoma","L48(N)","native"
"Atriplex malvana",NA,NA
"Atriplex matamorensis","L48(N)","native"
"Atriplex maximowicziana","HI(I)",NA
"Atriplex micrantha","L48(I)CAN(I)","alien"
"Atriplex minuscula","L48(N)","native"
"Atriplex minuticarpa","L48(N)","native"
"Atriplex muelleri","L48(I)","alien"
"Atriplex muricata","L48(N)","native"
"Atriplex navajoensis","L48(N)","native"
"Atriplex nudicaulis","CAN(N)GL(N)NA(N)","native"
"Atriplex nummularia","L48(I)","alien"
"Atriplex nuttallii","L48(N)","native"
"Atriplex oblongifolia","L48(I)CAN(I)","alien"
"Atriplex obovata","L48(N)","native"
"Atriplex pachypoda","L48(N)","native"
"Atriplex pacifica","L48(N)","native"
"Atriplex paludosa",NA,NA
"Atriplex parishii","L48(N)","native"
"Atriplex parryi","L48(N)","native"
"Atriplex patula","L48(I)AK(I)CAN(I)GL(I)SPM(I)","alien"
"Atriplex persistens","L48(N)","native"
"Atriplex phyllostegia","L48(N)","native"
"Atriplex polycarpa","L48(N)","native"
"Atriplex powellii","L48(N)CAN(N)","native"
"Atriplex prostrata","L48(N)CAN(N)","native"
"Atriplex pseudocampanulata",NA,NA
"Atriplex pusilla","L48(N)","native"
"Atriplex repanda",NA,NA
"Atriplex rhagodioides",NA,NA
"Atriplex robusta","L48(N)","native"
"Atriplex rosea","L48(I)CAN(I)","alien"
"Atriplex saccaria","L48(N)","native"
"Atriplex semibaccata","L48(I)HI(I)","alien"
"Atriplex serenana","L48(N)","native"
"Atriplex serenana var. davidsonii","L48(N)","native"
"Atriplex serenana var. serenana","L48(N)","native"
"Atriplex sibirica","L48(I)","alien"
"Atriplex spinifera","L48(N)","native"
"Atriplex spongiosa",NA,NA
"Atriplex stipitata","L48(I)","alien"
"Atriplex suberecta","L48(I)HI(I)","alien"
"Atriplex subspicata","L48(N)","native"
"Atriplex subtilis","L48(N)","native"
"Atriplex tatarica","L48(I)","alien"
"Atriplex tenuissima","L48(N)","native"
"Atriplex texana","L48(N)","native"
"Atriplex torreyi","L48(N)","native"
"Atriplex tridentata","L48(N)","native"
"Atriplex truncata","L48(N)CAN(N)","native"
"Atriplex tularensis","L48(N)","native"
"Atriplex undulata","L48(I)","alien"
"Atriplex vallicola","L48(N)","native"
"Atriplex verrucifera",NA,NA
"Atriplex vesicaria","L48(I)","alien"
"Atriplex wardii","L48(N)","native"
"Atriplex watsonii","L48(N)","native"
"Atriplex welshii","L48(N)","native"
"Atriplex wolfii","L48(N)","native"
"Atriplex wrightii","L48(N)","native"
"Atropa","L48(I)","alien"
"Atropa bella-donna","L48(I)","alien"
"Attalea",NA,NA
"Attalea funifera",NA,NA
"Atuna",NA,NA
"Atuna racemosa","L48(N)","native"
"Aubrieta","L48(I)","alien"
"Aubrieta deltoidea","L48(I)","alien"
"Aucuba","L48(I)","alien"
"Aucuba japonica","L48(I)","alien"
"Auerodendron",NA,NA
"Auerodendron pauciflorum","PR(N)",NA
"Aulacomnium","NA(N)","native"
